Date-and-Time, Humidity %, Temperature(°C), Heat-Index 
[2024-05-27 07:36:45.201] 120011476,68.1,31.9,39.45
[2024-05-27 07:38:45.838] 240035608,72.9,33,44.75
[2024-05-27 07:40:46.467] 360060508,71.3,33.8,46.74
[2024-05-27 07:42:47.112] 480085616,71.1,34.1,47.69
[2024-05-27 07:44:47.745] 600110688,69.2,34.3,47.41
[2024-05-27 07:46:48.377] 720135716,69.2,34.4,47.75
[2024-05-27 07:48:49.014] 840160736,70,34.6,48.89
[2024-05-27 07:50:49.647] 960185740,68.7,34.7,48.54
[2024-05-27 07:52:50.284] 1080209828,68.4,34.7,48.37
[2024-05-27 07:54:50.932] 1200234888,67.7,34.6,47.66
[2024-05-27 07:56:51.564] 1320259020,68.3,34.3,46.94
[2024-05-27 07:58:52.196] 1440284088,69.5,34.7,48.97
[2024-05-27 08:00:52.828] 1560309288,68.7,34.8,48.89
[2024-05-27 08:02:53.473] 1680334404,68.8,34.8,48.94
[2024-05-27 08:04:54.106] 1800359416,69.4,34.9,49.63
[2024-05-27 08:06:54.752] 1920384480,68.2,34.9,48.97
[2024-05-27 08:08:55.397] 2040409496,68.4,34.8,48.72
[2024-05-27 08:10:56.058] 2160434468,68.9,34.8,49
[2024-05-27 08:12:56.697] 2280458540,69,34.9,49.41
[2024-05-27 08:14:57.343] 2400482472,67,34.9,48.31
[2024-05-27 08:16:57.988] 2520506504,67.7,34.9,48.69
[2024-05-27 08:18:58.649] 2640530680,68.2,34.8,48.61
[2024-05-27 08:20:59.294] 2760554588,69.2,34.9,49.52
[2024-05-27 08:22:59.932] 2880578628,69.7,35,50.17
[2024-05-27 08:25:00.589] 3000602780,68.1,35,49.26
[2024-05-27 08:27:01.231] 3120626660,69.4,35,50
[2024-05-27 08:29:01.872] 3240650624,67.8,35,49.1
[2024-05-27 08:31:02.514] 3360674632,67.3,34.9,48.47
[2024-05-27 08:33:03.166] 3480698712,66.3,35,48.28
[2024-05-27 08:35:03.807] 3600722640,68.9,34.9,49.35
[2024-05-27 08:37:04.449] 3720747708,66.7,34.9,48.15
[2024-05-27 08:39:05.106] 3840771796,68.6,34.9,49.19
[2024-05-27 08:41:05.745] 3960795884,70.7,35,50.74
[2024-05-27 08:43:06.378] 4080819900,69.2,35.1,50.25
[2024-05-27 08:45:07.033] 4200843984,68.3,35.1,49.73
[2024-05-27 08:47:07.672] 25900772,68,34.9,48.86
[2024-05-27 08:49:08.305] 145924712,66.8,34.9,48.2
[2024-05-27 08:51:08.951] 265949732,67.2,34.9,48.42
[2024-05-27 08:53:09.599] 385974700,67,34.9,48.31
[2024-05-27 08:55:10.238] 505999712,67.6,34.9,48.64
[2024-05-27 08:57:10.875] 626023752,66.4,34.5,46.65
[2024-05-27 08:59:11.512] 746047748,68.6,34.9,49.19
[2024-05-27 09:01:12.165] 866071792,69.2,35,49.88
[2024-05-27 09:03:12.798] 986095716,69.9,35,50.28
[2024-05-27 09:05:13.435] 1106119692,70,34.7,49.25
[2024-05-27 09:07:14.088] 1226143812,67.5,34.9,48.58
[2024-05-27 09:09:14.725] 1346167944,68.1,34.6,47.87
[2024-05-27 09:11:15.362] 1466191988,67,34.8,47.97
[2024-05-27 09:13:16.007] 1586215968,68.1,34.9,48.91
[2024-05-27 09:15:16.643] 1706239920,67.9,34.9,48.8
[2024-05-27 09:17:17.279] 1826264088,68.6,34.9,49.19
[2024-05-27 09:19:17.923] 1946288176,69.1,34.9,49.47
[2024-05-27 09:21:18.557] 2066312220,69.2,35,49.88
[2024-05-27 09:23:19.197] 2186336184,67.6,35,48.99
[2024-05-27 09:25:19.833] 2306360196,68.9,34.8,49
[2024-05-27 09:27:20.484] 2426384268,67.3,34.9,48.47
[2024-05-27 09:29:21.120] 2546408356,68.9,35,49.71
[2024-05-27 09:31:21.755] 2666432284,67.8,35,49.1
[2024-05-27 09:33:22.383] 2786456288,68.6,34.9,49.19
[2024-05-27 09:35:23.034] 2906480380,66.7,34.2,45.82
[2024-05-27 09:37:23.668] 3026504468,68.4,33.9,45.66
[2024-05-27 09:39:24.303] 3146528460,69.5,33.6,45.19
[2024-05-27 09:41:24.938] 3266552544,69.9,33.6,45.38
[2024-05-27 09:43:25.584] 3386576684,69.5,33.9,46.19
[2024-05-27 09:45:26.219] 3506600772,68.6,34.1,46.42
